asof_time,symbol,table_type,signal_side,level_tag,level_name,direction,status,level_price,zone_low,zone_high,last_price,distance_pips,distance_pips_abs,level_family,level_period,touch_count,first_touch_time,first_cross_time,build_timeframe,entry_timeframe,notes,rank,strength_score,fresh_score,family_score,period_score,distance_score,source_data
2026-03-28 17:28:22.916281+00:00,EUR/CHF,intraday,support,W_POC,W_POC,long,crossed,0.91105,0.90635,0.91385,0.91968,-86.25,86.25,POC,W,7,2026-03-23T02:00:00+00:00,2026-03-23T02:00:00+00:00,M30,M1,Profile 2026-W12 | close 0.91080,17,19.114613180515747,0,3,1,0.011461318051574774,fxcm_m30
2026-03-28 17:28:17.062019+00:00,EUR/GBP,intraday,resistance,M_IB,M IB HIGH,short,fresh,0.87876,0.87876,0.87876,0.8679,108.55,108.55,IB,M,0,,,M30,M1,Anchor 2026-03 | range 0.01032,8,48.09128251939754,3,2,2,0.009128251939753581,fxcm_m30/d1
2026-03-28 17:28:17.071505+00:00,EUR/GBP,intraday,support,M_IB,M IB -150,long,fresh,0.85296,0.85296,0.85296,0.8679,-149.45,149.45,IB,M,0,,,M30,M1,Anchor 2026-03 | range 0.01032,9,48.06646726487205,3,2,2,0.006646726487205156,fxcm_m30/d1
2026-03-28 17:28:17.062019+00:00,EUR/GBP,intraday,resistance,M_IB,M IB LOW,short,crossed,0.86844,0.86844,0.86844,0.8679,5.35,5.35,IB,M,6,2026-03-06T08:00:00+00:00,2026-03-06T08:00:00+00:00,M30,M1,Anchor 2026-03 | range 0.01032,18,19.574803149606144,0,2,2,0.15748031496061424,fxcm_m30/d1
2026-03-28 17:28:17.062019+00:00,EUR/GBP,intraday,resistance,M_POC,M_POC,short,crossed,0.87155,0.86875,0.87495,0.8679,36.5,36.5,POC,M,6,2026-03-02T22:00:00+00:00,2026-03-03T12:00:00+00:00,M30,M1,Profile 2026-02 | close 0.87613,17,23.266666666666744,0,3,2,0.02666666666667426,fxcm_m30
2026-03-28 17:28:17.053892+00:00,EUR/GBP,intraday,support,W_POC,W_POC,long,crossed,0.86385,0.86275,0.86455,0.8679,-40.5,40.5,POC,W,8,2026-03-23T11:00:00+00:00,2026-03-23T14:00:00+00:00,M30,M1,Profile 2026-W12 | close 0.86708,19,19.240963855421676,0,3,1,0.0240963855421674,fxcm_m30
2026-03-28 17:28:18.956599+00:00,EUR/JPY,intraday,resistance,M_IB,M IB HIGH,short,fresh,184.694,184.694,184.694,184.49,20.4,20.4,IB,M,0,,,M30,M1,Anchor 2026-03 | range 2.66350,10,48.46728971962615,3,2,2,0.046728971962615135,fxcm_m30/d1
2026-03-28 17:28:18.949174+00:00,EUR/JPY,intraday,support,M_POC,M_POC,long,crossed,183.6095,182.4825,185.9435,184.49,-88.05,88.05,POC,M,62,2026-03-01T18:00:00+00:00,2026-03-01T19:30:00+00:00,M30,M1,Profile 2026-02 | close 184.44850,17,23.112296462663114,0,3,2,0.011229646266311276,fxcm_m30
2026-03-28 17:28:18.942614+00:00,EUR/JPY,intraday,support,W_POC,W_POC,long,crossed,183.4905,182.5965,183.7235,184.49,-99.95,99.95,POC,W,2,2026-03-23T09:30:00+00:00,2026-03-23T09:30:00+00:00,M30,M1,Profile 2026-W12 | close 184.01000,18,19.099058940070098,0,3,1,0.009905894007009869,fxcm_m30
2026-03-28 17:28:18.957959+00:00,EUR/JPY,intraday,support,M_IB,M IB LOW,long,crossed,182.0305,182.0305,182.0305,184.49,-245.95,245.95,IB,M,4,2026-03-16T06:00:00+00:00,2026-03-16T07:30:00+00:00,M30,M1,Anchor 2026-03 | range 2.66350,19,18.040494027130997,0,2,2,0.004049402713099832,fxcm_m30/d1
