asof_time,symbol,table_type,signal_side,level_tag,level_name,direction,status,level_price,zone_low,zone_high,last_price,distance_pips,distance_pips_abs,level_family,level_period,touch_count,first_touch_time,first_cross_time,build_timeframe,entry_timeframe,notes,rank,strength_score,fresh_score,family_score,period_score,distance_score,source_data
2026-03-28 16:32:53.275287+00:00,AUD/JPY,invest,support,M_IB,M IB LOW,long,fresh,109.532,109.532,109.532,110.1885,-65.65,65.65,IB,M,0,,,D1,H4,Anchor 2026-03 | range 2.56200,11,48.15003750937735,3,2,2,0.015003750937734567,fxcm_m30/d1
2026-03-28 16:32:53.275287+00:00,AUD/JPY,invest,support,M_POC,M_POC,long,fresh,109.2005,108.0675,110.1505,110.1885,-98.8,98.8,POC,M,0,,,D1,H4,Profile 2026-02 | close 111.07000,2,53.10020040080273,3,3,2,0.010020040080272756,fxcm_m30
2026-03-28 16:32:53.275287+00:00,AUD/JPY,invest,support,M_IB,M IB -150,long,fresh,105.689,105.689,105.689,110.1885,-449.95,449.95,IB,M,0,,,D1,H4,Anchor 2026-03 | range 2.56200,12,48.022175407473114,3,2,2,0.002217540747311247,fxcm_m30/d1
2026-03-28 16:32:53.295501+00:00,AUD/JPY,invest,support,Y_IB,Y IB LOW,long,fresh,104.566,104.566,104.566,110.1885,-562.25,562.25,IB,Y,0,,,D1,H4,Anchor 2026 | range 6.91250,3,52.017754105636925,3,2,3,0.0017754105636928533,fxcm_m30/d1
2026-03-28 16:32:53.275287+00:00,AUD/JPY,invest,resistance,M_IB,M IB 150,short,fresh,115.937,115.937,115.937,110.1885,574.85,574.85,IB,M,0,,,D1,H4,Anchor 2026-03 | range 2.56200,13,48.01736563341148,3,2,2,0.0017365633411478793,fxcm_m30/d1
2026-03-28 16:32:53.275287+00:00,AUD/JPY,invest,support,M_IB,M IB -200,long,fresh,104.408,104.408,104.408,110.1885,-578.05,578.05,IB,M,0,,,D1,H4,Anchor 2026-03 | range 2.56200,14,48.01726966583197,3,2,2,0.0017269665831966268,fxcm_m30/d1
2026-03-28 16:32:53.275287+00:00,AUD/JPY,invest,resistance,M_IB,M IB 200,short,fresh,117.218,117.218,117.218,110.1885,702.95,702.95,IB,M,0,,,D1,H4,Anchor 2026-03 | range 2.56200,15,48.014205554371756,3,2,2,0.0014205554371759447,fxcm_m30/d1
2026-03-28 16:32:53.289454+00:00,AUD/JPY,invest,support,M_IB,M IB -300,long,fresh,101.846,101.846,101.846,110.1885,-834.25,834.25,IB,M,0,,,D1,H4,Anchor 2026-03 | range 2.56200,16,48.01197246333433,3,2,2,0.0011972463334331118,fxcm_m30/d1
2026-03-28 16:32:53.286285+00:00,AUD/JPY,invest,resistance,M_IB,M IB 300,short,fresh,119.78,119.78,119.78,110.1885,959.15,959.15,IB,M,0,,,D1,H4,Anchor 2026-03 | range 2.56200,17,48.010415039316776,3,2,2,0.0010415039316773486,fxcm_m30/d1
2026-03-28 16:32:53.295501+00:00,AUD/JPY,invest,resistance,Y_IB,Y IB 150,short,fresh,121.84725,121.84725,121.84725,110.1885,1165.87,1165.87,IB,Y,0,,,D1,H4,Anchor 2026 | range 6.91250,4,52.00856989823246,3,2,3,0.0008569898232458501,fxcm_m30/d1
2026-03-28 16:32:53.289454+00:00,AUD/JPY,invest,support,Y_POC,Y_POC,long,fresh,97.8305,95.1355,101.0395,110.1885,-1235.8,1235.8,POC,Y,0,,,D1,H4,Profile 2025 | close 104.67750,1,57.008085381630025,3,3,3,0.0008085381630023636,fxcm_m30
2026-03-28 16:32:53.295501+00:00,AUD/JPY,invest,resistance,Y_IB,Y IB 200,short,fresh,125.3035,125.3035,125.3035,110.1885,1511.5,1511.5,IB,Y,0,,,D1,H4,Anchor 2026 | range 6.91250,5,52.006611570247934,3,2,3,0.0006611570247933893,fxcm_m30/d1
