symbol
EUR/USD
GBP/USD
USD/JPY
USD/CHF
AUD/USD
USD/CAD
NZD/USD
EUR/GBP
EUR/JPY
GBP/JPY
EUR/CHF
GBP/CHF
AUD/JPY
CAD/JPY
CHF/JPY
